Airline,Source,Destination,Additional_Info,Date,Month,Year,Stop,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute,Route_1,Route_2,Route_3,Route_4,Route_5,Price
4,0,5,5,21,3,2019,1,19,10,11,40,0,7,8,12,4,7867.469
3,2,1,8,9,6,2019,1,12,10,6,50,3,20,6,12,4,5476.2217
10,3,0,8,6,5,2019,1,18,50,17,0,2,14,3,12,4,8684.22
6,2,1,8,12,6,2019,1,19,15,6,0,3,7,6,12,4,9920.258
1,2,1,8,9,3,2019,2,9,25,7,5,3,20,22,5,4,10652.627
3,2,1,8,3,4,2019,1,7,45,2,0,3,6,6,12,4,4401.9243
0,2,1,8,27,6,2019,1,22,25,16,45,3,6,6,12,4,6921.393
11,0,5,8,24,3,2019,0,22,20,19,40,0,13,24,12,4,4936.5796
3,0,2,8,9,5,2019,0,15,50,13,0,0,13,24,12,4,4179.0024
3,2,1,8,6,6,2019,1,7,25,2,0,3,33,6,12,4,5888.3057
6,2,1,8,15,6,2019,1,12,35,3,50,3,7,6,12,4,11189.451
3,0,2,8,12,6,2019,0,0,15,21,15,0,13,24,12,4,3729.5112
4,2,1,5,21,3,2019,1,18,50,11,30,3,7,6,12,4,7169.4243
3,4,3,8,18,6,2019,0,13,30,12,0,1,19,24,12,4,2682.8489
4,2,1,5,18,5,2019,1,19,0,21,50,3,7,6,12,4,12217.489
1,3,0,8,1,4,2019,3,21,50,5,50,2,25,1,4,0,7536.577
0,2,1,8,15,5,2019,1,15,45,7,55,3,6,6,12,4,6928.833
3,4,3,8,18,5,2019,0,10,40,9,10,1,19,24,12,4,4280.1914
4,0,2,5,21,5,2019,0,11,20,8,20,0,13,24,12,4,5075.028
8,0,2,7,21,6,2019,0,12,20,9,30,0,13,24,12,4,4077.9846
1,3,0,8,1,5,2019,2,5,25,10,0,2,14,0,3,4,15113.504
10,2,1,8,3,3,2019,0,17,50,14,55,3,10,24,12,4,7943.062
4,3,0,8,18,5,2019,1,10,5,20,0,2,7,3,12,4,14172.549
3,0,2,8,24,6,2019,0,1,0,22,10,0,13,24,12,4,3399.3118
10,3,0,8,9,6,2019,1,9,5,17,0,2,14,3,12,4,8995.86
2,2,1,8,18,5,2019,1,12,55,7,0,3,7,6,12,4,6872.1504
0,3,0,8,21,4,2019,0,22,25,19,55,2,5,24,12,4,4939.0938
6,2,1,8,9,5,2019,1,1,30,15,15,3,7,6,12,4,10187.93
6,2,1,8,15,5,2019,1,1,30,11,40,3,7,6,12,4,8005.011
8,1,4,8,21,3,2019,0,10,35,8,20,4,8,24,12,4,3951.1843
4,2,1,5,15,6,2019,1,19,0,7,5,3,7,6,12,4,12707.118
8,3,0,7,18,4,2019,0,19,40,17,10,2,5,24,12,4,4094.23
4,3,0,8,9,5,2019,1,8,15,18,55,2,7,3,12,4,13788.397
4,3,0,5,18,5,2019,1,8,15,14,5,2,7,3,12,4,8836.462
4,3,0,5,18,5,2019,1,18,15,14,5,2,7,3,12,4,10332.459
3,2,1,8,24,6,2019,1,21,0,16,0,3,7,6,12,4,6064.1895
1,2,1,8,1,6,2019,1,19,15,20,0,3,7,6,12,4,9792.236
1,4,3,8,27,6,2019,0,20,45,19,30,1,19,24,12,4,3068.0344
1,4,3,8,15,5,2019,0,7,40,6,20,1,19,24,12,4,3150.6821
4,2,1,5,15,6,2019,1,4,25,15,0,3,7,6,12,4,9987.578
6,2,1,8,24,6,2019,1,19,15,13,0,3,7,6,12,4,14766.646
8,4,3,8,24,3,2019,0,7,5,5,45,1,19,24,12,4,2528.7588
1,3,0,8,9,5,2019,2,18,30,8,20,2,28,4,3,4,10542.107
3,2,1,8,6,3,2019,1,10,10,5,35,3,32,6,12,4,10077.737
6,2,1,8,21,5,2019,1,21,0,10,0,3,7,6,12,4,9779.668
6,2,1,8,9,3,2019,1,1,35,17,45,3,7,6,12,4,13455.122
6,2,1,8,9,5,2019,1,19,0,6,40,3,7,6,12,4,9395.167
8,3,0,8,15,3,2019,0,19,45,17,15,2,5,24,12,4,4376.9346
4,3,0,8,12,6,2019,1,10,5,18,55,2,7,3,12,4,13028.264
3,4,3,8,9,5,2019,0,22,50,21,20,1,19,24,12,4,2284.9736
4,0,5,8,6,3,2019,1,0,45,5,45,0,7,8,12,4,13111.879
3,2,1,8,9,3,2019,2,21,20,7,35,3,20,22,5,4,7565.51
6,2,1,8,18,5,2019,1,19,0,6,40,3,7,6,12,4,9429.736
6,2,1,8,6,3,2019,1,18,50,9,0,3,7,6,12,4,15775.359
6,2,1,5,6,3,2019,1,1,35,11,30,3,7,6,12,4,14842.914
8,3,0,8,9,6,2019,0,9,30,6,55,2,5,24,12,4,3952.5537
3,3,0,8,6,6,2019,1,22,15,17,35,2,33,3,12,4,5924.012
8,3,0,8,9,5,2019,1,18,30,11,15,2,23,3,12,4,10004.0205
1,2,1,8,15,5,2019,2,19,15,20,15,3,9,4,5,4,13987.141
4,0,5,8,18,3,2019,1,18,25,8,0,0,7,8,12,4,12451.691
3,2,1,8,15,4,2019,1,1,30,20,25,3,7,6,12,4,5541.6885
4,2,1,8,6,3,2019,2,4,25,5,40,3,4,4,5,4,21571.736
6,2,1,8,9,4,2019,1,19,0,10,20,3,7,6,12,4,9210.003
1,3,0,8,18,5,2019,2,20,25,16,45,2,15,9,3,4,13898.49
4,0,5,5,12,3,2019,1,10,25,22,55,0,7,8,12,4,11085.719
3,3,0,8,15,5,2019,0,14,5,11,30,2,5,24,12,4,5053.775
4,0,2,8,9,5,2019,0,8,45,6,0,0,13,24,12,4,7219.515
8,3,0,8,9,6,2019,1,20,20,15,5,2,33,3,12,4,5049.5796
4,2,1,5,9,5,2019,1,12,35,20,55,3,7,6,12,4,12266.734
3,3,0,8,9,5,2019,0,16,55,14,25,2,5,24,12,4,5085.8765
10,0,2,8,1,4,2019,0,19,35,17,0,0,13,24,12,4,5611.948
3,2,1,8,18,5,2019,1,16,10,6,50,3,20,6,12,4,6700.2085
3,0,2,8,3,5,2019,0,15,50,13,0,0,13,24,12,4,4203.033
4,2,1,5,6,3,2019,1,4,25,19,45,3,7,6,12,4,12514.997
3,2,1,8,27,6,2019,1,12,10,6,50,3,20,6,12,4,5305.832
3,2,1,8,6,5,2019,1,3,35,21,50,3,32,6,12,4,6737.375
3,3,0,8,24,5,2019,0,17,45,15,15,2,5,24,12,4,4974.4976
1,0,2,8,1,4,2019,0,12,45,10,0,0,13,24,12,4,5130.557
4,3,0,5,12,5,2019,1,16,20,8,25,2,7,3,12,4,10381.639
1,3,0,8,1,4,2019,2,5,25,10,0,2,14,0,3,4,12473.03
8,0,2,8,18,6,2019,0,12,20,9,30,0,13,24,12,4,4214.8755
10,0,2,8,21,4,2019,0,22,15,19,30,0,13,24,12,4,5899.922
1,0,5,8,15,3,2019,1,10,50,22,0,0,11,8,12,4,9038.727
3,0,5,8,1,3,2019,0,8,45,6,0,0,13,24,12,4,15433.047
4,3,0,8,24,3,2019,1,22,35,21,10,2,7,3,12,4,13418.138
4,2,1,8,15,5,2019,1,12,35,2,15,3,7,6,12,4,16376.803
4,3,0,5,12,5,2019,1,22,35,14,5,2,7,3,12,4,10577.104
3,0,5,8,9,3,2019,0,11,30,8,30,0,13,24,12,4,7585.315
1,2,1,8,27,5,2019,1,9,25,20,40,3,33,6,12,4,7072.447
3,0,2,8,18,5,2019,0,0,15,21,15,0,13,24,12,4,4248.5864
1,3,0,8,12,5,2019,0,16,45,14,15,2,5,24,12,4,5428.5967
4,3,0,5,9,6,2019,1,4,40,16,30,2,7,3,12,4,8279.06
1,2,1,8,15,5,2019,1,8,15,9,45,3,6,6,12,4,8573.656
4,3,0,8,15,5,2019,1,16,20,8,25,2,7,3,12,4,14682.618
6,2,1,8,3,3,2019,1,22,20,14,35,3,20,6,12,4,11991.509
6,2,1,8,27,5,2019,1,21,0,14,0,3,7,6,12,4,12727.429
4,0,2,8,24,5,2019,0,14,5,11,10,0,13,24,12,4,7026.4473
8,3,0,7,1,6,2019,0,19,40,17,10,2,5,24,12,4,3945.1292
8,0,2,8,21,6,2019,0,0,5,21,10,0,13,24,12,4,3783.2158
3,3,0,8,15,3,2019,0,19,55,17,15,2,5,24,12,4,4519.8013
3,0,2,8,15,6,2019,0,22,50,20,0,0,13,24,12,4,4933.4214
4,3,0,5,12,5,2019,1,12,0,14,5,2,7,3,12,4,9624.296
4,4,3,5,12,5,2019,0,21,5,19,35,1,19,24,12,4,2821.1057
4,0,2,8,18,5,2019,0,22,50,19,50,0,13,24,12,4,7402.751
6,2,1,8,27,3,2019,1,15,30,9,0,3,7,6,12,4,7927.567
3,0,2,8,21,5,2019,0,19,55,16,55,0,13,24,12,4,4768.289
2,3,0,8,18,6,2019,0,17,55,15,20,2,5,24,12,4,4108.017
8,0,2,7,6,5,2019,0,12,20,9,30,0,13,24,12,4,3895.3994
1,0,2,8,27,5,2019,0,8,55,6,10,0,13,24,12,4,7177.4497
1,2,1,8,27,5,2019,2,9,25,7,5,3,20,22,5,4,11020.324
8,3,0,7,18,3,2019,0,0,40,22,20,2,5,24,12,4,5226.243
8,3,0,8,1,5,2019,1,17,15,8,35,2,38,3,12,4,6325.9785
3,1,4,8,9,3,2019,0,17,5,14,40,4,8,24,12,4,6535.203
1,2,1,8,1,6,2019,2,19,15,20,15,3,9,4,5,4,13707.697
4,2,1,8,24,6,2019,2,19,0,9,40,3,28,4,5,4,13146.7
3,0,5,8,3,3,2019,0,0,15,21,20,0,13,24,12,4,7212.0034
3,0,2,8,6,4,2019,0,4,15,1,30,0,13,24,12,4,3858.3574
1,0,5,8,18,3,2019,2,10,35,8,50,0,7,23,6,4,12689.646
8,3,0,8,3,5,2019,0,19,40,17,10,2,5,24,12,4,4140.0405
8,3,0,8,6,5,2019,1,20,20,15,5,2,33,3,12,4,4824.9263
1,3,0,8,24,3,2019,2,18,30,9,10,2,2,4,3,4,14180.819
6,2,1,8,27,3,2019,1,1,35,9,55,3,7,6,12,4,9102.258
4,3,0,5,18,5,2019,1,10,5,20,0,2,7,3,12,4,9146.313
1,3,0,8,6,5,2019,1,21,50,9,25,2,7,3,12,4,8307.743
3,4,3,8,3,5,2019,0,20,35,19,5,1,19,24,12,4,3203.0315
8,3,0,8,24,6,2019,0,0,40,22,20,2,5,24,12,4,3909.7073
4,0,5,8,6,3,2019,1,20,20,8,55,0,7,8,12,4,17178.93
6,2,1,8,6,5,2019,1,19,15,9,0,3,7,6,12,4,13116.228
10,0,5,8,3,3,2019,1,21,55,6,40,0,0,8,12,4,11557.138
4,3,0,8,9,6,2019,1,10,55,20,25,2,14,3,12,4,13350.197
6,2,1,8,3,6,2019,1,1,30,17,30,3,7,6,12,4,12880.335
0,2,1,8,21,4,2019,1,15,45,7,55,3,6,6,12,4,6917.6113
8,3,0,7,27,6,2019,0,0,40,22,20,2,5,24,12,4,3929.426
6,2,1,8,15,5,2019,1,21,0,8,0,3,7,6,12,4,11148.715
10,4,3,8,6,3,2019,1,9,25,20,55,1,14,13,12,4,12512.603
8,4,3,8,27,5,2019,0,14,45,13,15,1,19,24,12,4,2133.0916
6,2,1,8,12,6,2019,1,21,0,10,20,3,7,6,12,4,9278.859
1,2,1,8,6,6,2019,2,19,15,22,0,3,16,4,5,4,10395.953
3,1,4,8,21,5,2019,0,14,0,11,35,4,8,24,12,4,4172.0894
1,3,0,8,6,6,2019,2,11,10,8,20,2,28,4,3,4,11192.744
1,2,1,8,21,5,2019,1,23,0,6,10,3,6,6,12,4,8187.5557
4,0,2,8,27,4,2019,0,8,45,6,0,0,13,24,12,4,7374.1553
1,3,0,8,1,4,2019,1,18,30,9,25,2,7,3,12,4,7434.652
4,2,1,5,21,5,2019,1,4,25,18,15,3,7,6,12,4,12701.493
4,2,1,8,1,6,2019,1,19,0,2,15,3,7,6,12,4,14908.743
1,3,0,8,24,3,2019,1,7,55,9,25,2,7,3,12,4,10720.389
8,1,4,8,21,5,2019,0,12,0,9,45,4,8,24,12,4,3426.775
3,2,1,8,21,3,2019,1,16,10,4,55,3,20,6,12,4,6106.8276
8,0,2,7,9,6,2019,0,8,35,5,55,0,13,24,12,4,3725.1978
4,2,1,5,21,3,2019,1,4,25,9,0,3,7,6,12,4,7696.739
4,2,1,8,12,6,2019,2,4,25,5,30,3,28,4,5,4,13143.53
6,2,1,8,3,3,2019,2,21,20,9,45,3,20,22,5,4,12083.001
10,3,0,8,24,5,2019,1,10,45,17,0,2,14,3,12,4,9958.3
1,2,1,8,15,6,2019,0,17,10,14,10,3,10,24,12,4,5722.8784
1,3,0,8,15,5,2019,2,11,10,12,0,2,2,4,3,4,10592.924
4,3,0,8,6,6,2019,1,10,55,9,35,2,14,3,12,4,12983.509
3,2,1,8,27,4,2019,1,12,10,6,50,3,20,6,12,4,5546.8496
6,2,1,8,6,3,2019,2,1,35,17,50,3,26,4,5,4,23647.945
4,3,0,5,1,5,2019,1,8,15,8,25,2,7,3,12,4,9256.975
4,3,0,5,9,5,2019,1,22,35,16,30,2,7,3,12,4,10782.075
1,2,1,8,6,6,2019,2,7,40,17,15,3,20,4,5,4,12468.59
4,2,1,8,3,6,2019,2,12,35,19,30,3,28,4,5,4,12908.221
4,4,3,8,6,3,2019,1,16,50,16,0,1,14,13,12,4,19382.648
0,0,2,8,6,4,2019,0,7,45,4,55,0,13,24,12,4,4231.3535
3,2,1,8,27,6,2019,1,1,30,15,0,3,7,6,12,4,6197.315
6,2,1,8,6,6,2019,1,1,30,18,15,3,7,6,12,4,11394.6455
3,1,4,8,18,5,2019,0,15,35,13,15,4,8,24,12,4,3750.4446
8,3,0,8,24,3,2019,0,11,30,9,0,2,5,24,12,4,5269.186
1,2,1,8,15,6,2019,2,7,40,12,0,3,28,4,5,4,9301.516
3,3,0,8,12,3,2019,0,17,55,15,20,2,5,24,12,4,4431.9478
3,4,3,8,1,4,2019,0,13,30,12,0,1,19,24,12,4,3043.399
8,2,1,8,27,4,2019,1,22,5,15,45,3,33,6,12,4,6382.2305
4,3,0,8,24,5,2019,1,9,45,17,0,2,14,3,12,4,13059.487
1,3,0,8,1,4,2019,2,1,20,7,0,2,14,7,3,4,10914.798
4,3,0,5,15,5,2019,1,19,50,16,30,2,7,3,12,4,10828.272
4,4,3,8,21,6,2019,0,4,20,2,55,1,19,24,12,4,6078.234
4,0,5,8,1,3,2019,1,8,15,22,50,0,7,8,12,4,22119.637
3,0,2,8,18,5,2019,0,3,25,0,30,0,13,24,12,4,3870.4243
3,0,5,8,9,3,2019,1,20,25,15,15,0,16,8,12,4,7285.5493
6,2,1,8,9,5,2019,2,1,30,17,50,3,26,4,5,4,19163.729
3,3,0,8,12,3,2019,0,0,55,22,10,2,5,24,12,4,4251.6
6,2,1,8,15,6,2019,1,12,35,6,0,3,7,6,12,4,11526.907
1,3,0,8,24,5,2019,1,11,5,19,0,2,20,3,12,4,5844.666
4,3,0,8,9,5,2019,1,14,25,9,35,2,14,3,12,4,12278.202
6,2,1,8,3,6,2019,1,21,0,8,0,3,7,6,12,4,12938.547
1,0,5,8,6,3,2019,2,23,25,8,50,0,7,2,6,4,15978.614
3,0,2,8,6,6,2019,0,19,55,16,55,0,13,24,12,4,4735.912
6,2,1,8,9,6,2019,2,1,30,15,5,3,21,4,5,4,17941.736
4,2,1,8,21,5,2019,2,19,0,23,5,3,0,4,5,4,15113.013
1,3,0,8,9,5,2019,2,21,50,8,20,2,28,4,3,4,10162.197
10,0,2,8,15,4,2019,0,9,40,7,0,0,13,24,12,4,5428.17
6,2,1,8,6,6,2019,1,21,0,10,0,3,7,6,12,4,9959.458
3,2,1,8,24,5,2019,1,1,30,11,25,3,7,6,12,4,6429.4795
4,2,1,8,3,3,2019,2,4,25,5,25,3,21,4,5,4,17869.328
1,2,1,8,27,5,2019,3,19,15,5,15,3,39,23,4,1,10411.692
1,2,1,8,6,3,2019,1,19,15,13,0,3,7,6,12,4,16155.088
3,2,1,8,6,3,2019,1,15,30,10,45,3,7,6,12,4,11941.622
6,2,1,8,18,5,2019,1,19,15,12,50,3,7,6,12,4,8703.118
4,2,1,5,6,6,2019,2,4,25,6,45,3,34,4,5,4,11336.037
6,2,1,8,27,5,2019,1,16,10,7,5,3,20,6,12,4,9421.4375
1,2,1,8,15,6,2019,0,21,10,18,5,3,10,24,12,4,5410.0923
4,2,1,8,27,6,2019,2,12,35,13,25,3,0,4,5,4,13985.983
3,3,0,8,12,5,2019,1,14,15,9,20,2,37,3,12,4,10269.453
1,3,0,8,18,5,2019,2,8,55,16,45,2,15,9,3,4,14847.002
3,4,3,8,27,3,2019,0,4,0,2,30,1,19,24,12,4,3143.485
3,0,2,8,24,5,2019,0,19,55,16,55,0,13,24,12,4,4813.1016
4,3,0,8,24,3,2019,1,20,40,13,55,2,7,3,12,4,14035.029
4,0,2,5,21,6,2019,0,8,45,6,0,0,13,24,12,4,6299.8384
3,0,5,8,3,3,2019,0,2,20,23,30,0,13,24,12,4,5991.184
4,2,1,8,27,5,2019,2,12,35,23,5,3,0,4,5,4,15207.76
3,0,2,8,24,6,2019,0,0,15,21,15,0,13,24,12,4,4018.0886
4,3,0,8,6,5,2019,1,23,35,16,30,2,7,3,12,4,14543.098
6,2,1,8,9,3,2019,1,19,15,7,30,3,7,6,12,4,14531.569
4,2,1,8,24,6,2019,1,19,0,13,0,3,7,6,12,4,15446.774
1,3,0,8,12,6,2019,2,5,25,7,0,2,14,0,3,4,12240.022
10,0,2,8,21,5,2019,0,14,20,11,30,0,13,24,12,4,4521.803
0,2,1,8,15,5,2019,1,22,25,7,55,3,6,6,12,4,6934.9785
10,3,0,8,1,5,2019,1,23,25,17,0,2,14,3,12,4,8941.93
8,0,2,7,3,6,2019,0,8,35,5,55,0,13,24,12,4,3437.9128
6,2,1,8,9,4,2019,1,0,55,9,45,3,20,6,12,4,7046.1577
4,3,0,5,6,5,2019,1,16,20,21,10,2,7,3,12,4,9745.927
4,3,0,5,15,5,2019,1,19,50,14,5,2,7,3,12,4,10946.082
2,0,5,8,3,3,2019,0,10,40,7,45,0,13,24,12,4,7190.887
3,2,1,8,27,3,2019,1,22,20,11,55,3,20,6,12,4,6029.1675
4,2,1,8,3,6,2019,1,4,25,19,15,3,7,6,12,4,14793.583
1,2,1,8,1,3,2019,1,9,25,20,40,3,33,6,12,4,17808.748
10,3,0,8,9,5,2019,1,20,20,20,20,2,14,3,12,4,8521.951
1,0,5,8,21,3,2019,2,22,55,8,15,0,20,29,6,4,8700.749
8,3,0,8,15,3,2019,0,9,35,6,55,2,5,24,12,4,4074.4395
3,0,5,8,15,3,2019,0,10,5,7,10,0,13,24,12,4,6508.7715
1,2,1,8,21,4,2019,1,8,15,9,45,3,6,6,12,4,7196.4663
3,2,1,8,1,4,2019,1,21,0,16,0,3,7,6,12,4,5366.0376
3,2,1,8,9,3,2019,1,22,20,6,40,3,20,6,12,4,7242.826
4,2,1,5,6,3,2019,1,4,25,23,5,3,7,6,12,4,13881.889
1,0,5,8,12,3,2019,2,13,55,17,25,0,7,18,6,4,14377.317
1,2,1,8,1,6,2019,2,9,25,9,45,3,20,22,5,4,11394.943
10,3,0,8,1,5,2019,1,23,25,7,10,2,14,3,12,4,8444.367
4,2,1,8,12,6,2019,2,4,25,5,30,3,28,4,5,4,13143.53
10,4,3,8,6,3,2019,1,22,55,14,40,1,14,13,12,4,12358.895
4,3,0,5,12,6,2019,1,18,0,9,35,2,14,3,12,4,11100.377
1,3,0,8,24,5,2019,2,8,55,9,50,2,15,9,3,4,15084.95
4,3,0,8,1,4,2019,1,12,0,16,30,2,7,3,12,4,12921.536
1,0,5,8,18,3,2019,2,11,10,8,50,0,7,15,6,4,10772.354
3,3,0,8,21,5,2019,1,20,30,15,15,2,20,3,12,4,5293.4053
10,0,2,8,9,5,2019,0,23,50,21,0,0,13,24,12,4,4361.262
8,1,4,8,6,3,2019,0,10,35,8,20,4,8,24,12,4,6680.741
6,2,1,8,18,5,2019,1,1,30,13,0,3,7,6,12,4,10642.258
4,0,5,5,9,3,2019,1,9,10,8,0,0,7,8,12,4,11270.322
3,2,1,8,18,5,2019,1,1,30,11,25,3,7,6,12,4,6905.493
4,3,0,8,6,6,2019,1,14,25,17,0,2,14,3,12,4,13028.628
4,4,3,5,21,3,2019,0,17,20,15,50,1,19,24,12,4,2358.3716
6,2,1,8,1,6,2019,1,19,15,10,35,3,7,6,12,4,8776.56
3,3,0,8,9,6,2019,1,20,5,15,15,2,20,3,12,4,5515.0674
3,0,2,8,24,4,2019,0,11,20,8,30,0,13,24,12,4,4807.1455
1,3,0,8,6,5,2019,1,20,25,10,0,2,14,3,12,4,10029.758
1,3,0,8,9,5,2019,2,8,55,14,30,2,44,9,3,4,14539.147
4,3,0,5,1,5,2019,1,16,20,6,30,2,7,3,12,4,10843.513
1,4,3,8,3,3,2019,0,16,25,15,0,1,19,24,12,4,5325.0625
1,2,1,8,9,6,2019,2,7,40,12,0,3,28,4,5,4,9297.048
8,2,1,8,3,6,2019,1,22,5,15,45,3,33,6,12,4,7087.31
4,3,0,5,6,6,2019,1,16,20,6,30,2,7,3,12,4,10648.348
4,2,1,5,9,6,2019,1,4,25,18,15,3,7,6,12,4,10571.083
1,3,0,8,15,5,2019,1,13,15,9,10,2,2,3,12,4,8794.439
1,0,5,8,6,3,2019,1,11,35,11,50,0,33,8,12,4,14284.211
4,0,2,5,18,5,2019,0,20,45,17,45,0,13,24,12,4,4896.506
1,0,5,8,21,3,2019,1,10,15,19,10,0,7,8,12,4,5755.2686
4,2,1,5,12,6,2019,1,19,0,2,15,3,7,6,12,4,10566.268
1,0,5,8,6,3,2019,2,23,25,6,45,0,7,2,6,4,13343.263
3,1,4,8,27,5,2019,0,7,40,5,15,4,8,24,12,4,3715.496
4,2,1,5,15,6,2019,1,19,0,15,0,3,7,6,12,4,10120.648
10,3,0,8,24,3,2019,1,10,50,9,55,2,14,3,12,4,12335.207
0,2,1,8,21,5,2019,1,7,10,20,45,3,6,6,12,4,7230.927
1,2,1,8,15,6,2019,2,7,40,13,15,3,20,4,5,4,11934.663
4,0,2,8,1,4,2019,0,11,20,8,20,0,13,24,12,4,7180.9487
1,0,2,8,27,5,2019,0,23,55,21,5,0,13,24,12,4,5120.678
8,4,3,8,15,3,2019,0,7,5,5,45,1,19,24,12,4,3301.3037
8,0,5,8,24,3,2019,0,8,35,5,45,0,13,24,12,4,3960.0923
3,2,1,8,3,6,2019,1,1,30,20,25,3,7,6,12,4,5815.2993
4,0,2,5,15,4,2019,0,22,50,19,50,0,13,24,12,4,4229.8843
6,2,1,8,9,3,2019,1,12,55,6,0,3,7,6,12,4,15471.603
4,3,0,5,12,5,2019,1,18,15,14,5,2,7,3,12,4,9708.386
0,3,0,8,18,5,2019,2,23,30,15,10,2,25,9,3,4,5708.157
1,2,1,8,9,6,2019,2,19,15,17,15,3,20,4,5,4,12479.648
2,0,2,8,21,6,2019,0,10,40,7,45,0,13,24,12,4,4094.6128
1,3,0,8,9,5,2019,2,5,35,16,50,2,7,11,3,4,11783.662
