Additional_Info,Airline,Destination,Source,Date,Month,Year,Stop,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute,Route_1,Route_2,Route_3,Route_4,Route_5,Price
8,8,3,4,9,6,2019,0,0,15,22,45,1,19,24,12,4,8044.7993
8,1,1,2,15,6,2019,1,7,40,8,0,3,7,6,12,4,26830.588
8,3,0,3,1,5,2019,1,2,15,21,0,2,38,3,12,4,38988.926
7,8,4,1,24,3,2019,0,20,5,17,45,4,8,24,12,4,17114.617
8,4,1,2,3,3,2019,1,18,50,19,15,3,7,6,12,4,36513.336
8,1,3,4,3,5,2019,0,15,25,13,55,1,19,24,12,4,7395.262
8,4,0,3,1,4,2019,1,22,35,18,55,2,7,3,12,4,47734.402
8,6,1,2,3,6,2019,1,21,0,7,30,3,7,6,12,4,31080.299
8,1,0,3,12,5,2019,2,13,45,9,25,2,7,7,3,4,44175.85
5,4,0,3,1,4,2019,1,19,50,14,5,2,7,3,12,4,60267.64
8,4,0,3,24,3,2019,1,16,20,13,55,2,7,3,12,4,46485.516
8,4,5,0,18,3,2019,1,11,25,5,45,0,7,8,12,4,28016.338
8,8,4,1,18,6,2019,0,12,0,9,45,4,8,24,12,4,18113.562
8,4,2,0,15,4,2019,0,18,10,15,15,0,13,24,12,4,817.61334
8,3,1,2,18,5,2019,1,7,45,2,0,3,6,6,12,4,26790.826
5,4,5,0,21,3,2019,1,19,10,11,40,0,7,8,12,4,17038.498
8,3,1,2,9,6,2019,1,12,10,6,50,3,20,6,12,4,27542.814
8,10,0,3,6,5,2019,1,18,50,17,0,2,14,3,12,4,47648.39
8,6,1,2,12,6,2019,1,19,15,6,0,3,7,6,12,4,29875.844
8,1,1,2,9,3,2019,2,9,25,7,5,3,20,22,5,4,27773.645
8,3,1,2,3,4,2019,1,7,45,2,0,3,6,6,12,4,28484.213
8,0,1,2,27,6,2019,1,22,25,16,45,3,6,6,12,4,33584.062
8,11,5,0,24,3,2019,0,22,20,19,40,0,13,24,12,4,2904.6323
8,3,2,0,9,5,2019,0,15,50,13,0,0,13,24,12,4,2257.6309
8,3,1,2,6,6,2019,1,7,25,2,0,3,33,6,12,4,27903.205
8,6,1,2,15,6,2019,1,12,35,3,50,3,7,6,12,4,28678.555
8,3,2,0,12,6,2019,0,0,15,21,15,0,13,24,12,4,2273.1838
5,4,1,2,21,3,2019,1,18,50,11,30,3,7,6,12,4,35416.934
8,3,3,4,18,6,2019,0,13,30,12,0,1,19,24,12,4,6273.9272
5,4,1,2,18,5,2019,1,19,0,21,50,3,7,6,12,4,33249.34
8,1,0,3,1,4,2019,3,21,50,5,50,2,25,1,4,0,35440.27
8,0,1,2,15,5,2019,1,15,45,7,55,3,6,6,12,4,26839.305
8,3,3,4,18,5,2019,0,10,40,9,10,1,19,24,12,4,8546.108
5,4,2,0,21,5,2019,0,11,20,8,20,0,13,24,12,4,4993.179
7,8,2,0,21,6,2019,0,12,20,9,30,0,13,24,12,4,3832.0293
8,1,0,3,1,5,2019,2,5,25,10,0,2,14,0,3,4,40695.023
8,10,1,2,3,3,2019,0,17,50,14,55,3,10,24,12,4,13612.446
8,4,0,3,18,5,2019,1,10,5,20,0,2,7,3,12,4,48578.99
8,3,2,0,24,6,2019,0,1,0,22,10,0,13,24,12,4,2695.1536
8,10,0,3,9,6,2019,1,9,5,17,0,2,14,3,12,4,37758.375
8,2,1,2,18,5,2019,1,12,55,7,0,3,7,6,12,4,28046.732
8,0,0,3,21,4,2019,0,22,25,19,55,2,5,24,12,4,17759.29
8,6,1,2,9,5,2019,1,1,30,15,15,3,7,6,12,4,22987.879
8,6,1,2,15,5,2019,1,1,30,11,40,3,7,6,12,4,26461.018
8,8,4,1,21,3,2019,0,10,35,8,20,4,8,24,12,4,15065.229
5,4,1,2,15,6,2019,1,19,0,7,5,3,7,6,12,4,37092.574
7,8,0,3,18,4,2019,0,19,40,17,10,2,5,24,12,4,20915.252
8,4,0,3,9,5,2019,1,8,15,18,55,2,7,3,12,4,49344.965
5,4,0,3,18,5,2019,1,8,15,14,5,2,7,3,12,4,56580.02
5,4,0,3,18,5,2019,1,18,15,14,5,2,7,3,12,4,57116.652
8,3,1,2,24,6,2019,1,21,0,16,0,3,7,6,12,4,26820.2
8,1,1,2,1,6,2019,1,19,15,20,0,3,7,6,12,4,27441.74
8,1,3,4,27,6,2019,0,20,45,19,30,1,19,24,12,4,7055.563
8,1,3,4,15,5,2019,0,7,40,6,20,1,19,24,12,4,8407.524
5,4,1,2,15,6,2019,1,4,25,15,0,3,7,6,12,4,32505.469
8,6,1,2,24,6,2019,1,19,15,13,0,3,7,6,12,4,29203.545
8,8,3,4,24,3,2019,0,7,5,5,45,1,19,24,12,4,7229.0903
8,1,0,3,9,5,2019,2,18,30,8,20,2,28,4,3,4,48105.406
8,3,1,2,6,3,2019,1,10,10,5,35,3,32,6,12,4,39631.83
8,6,1,2,21,5,2019,1,21,0,10,0,3,7,6,12,4,27619.354
8,6,1,2,9,3,2019,1,1,35,17,45,3,7,6,12,4,47782.566
8,6,1,2,9,5,2019,1,19,0,6,40,3,7,6,12,4,30169.115
8,8,0,3,15,3,2019,0,19,45,17,15,2,5,24,12,4,19287.398
8,4,0,3,12,6,2019,1,10,5,18,55,2,7,3,12,4,49739.72
8,3,3,4,9,5,2019,0,22,50,21,20,1,19,24,12,4,6181.5005
8,4,5,0,6,3,2019,1,0,45,5,45,0,7,8,12,4,32825.56
8,3,1,2,9,3,2019,2,21,20,7,35,3,20,22,5,4,29460.88
8,6,1,2,18,5,2019,1,19,0,6,40,3,7,6,12,4,29149.164
8,6,1,2,6,3,2019,1,18,50,9,0,3,7,6,12,4,37244.76
5,6,1,2,6,3,2019,1,1,35,11,30,3,7,6,12,4,34667.98
8,8,0,3,9,6,2019,0,9,30,6,55,2,5,24,12,4,19753.863
8,3,0,3,6,6,2019,1,22,15,17,35,2,33,3,12,4,38986.58
8,8,0,3,9,5,2019,1,18,30,11,15,2,23,3,12,4,48199.004
8,1,1,2,15,5,2019,2,19,15,20,15,3,9,4,5,4,23963.705
8,4,5,0,18,3,2019,1,18,25,8,0,0,7,8,12,4,19455.844
8,3,1,2,15,4,2019,1,1,30,20,25,3,7,6,12,4,25627.188
8,4,1,2,6,3,2019,2,4,25,5,40,3,4,4,5,4,38143.66
8,6,1,2,9,4,2019,1,19,0,10,20,3,7,6,12,4,28344.822
8,1,0,3,18,5,2019,2,20,25,16,45,2,15,9,3,4,50709.793
5,4,5,0,12,3,2019,1,10,25,22,55,0,7,8,12,4,20607.82
8,3,0,3,15,5,2019,0,14,5,11,30,2,5,24,12,4,21448.697
8,4,2,0,9,5,2019,0,8,45,6,0,0,13,24,12,4,3487.04
8,8,0,3,9,6,2019,1,20,20,15,5,2,33,3,12,4,40394.215
5,4,1,2,9,5,2019,1,12,35,20,55,3,7,6,12,4,33483.363
8,3,0,3,9,5,2019,0,16,55,14,25,2,5,24,12,4,19003.639
8,10,2,0,1,4,2019,0,19,35,17,0,0,13,24,12,4,1137.24
8,3,1,2,18,5,2019,1,16,10,6,50,3,20,6,12,4,26993.217
8,3,2,0,3,5,2019,0,15,50,13,0,0,13,24,12,4,2212.024
5,4,1,2,6,3,2019,1,4,25,19,45,3,7,6,12,4,52351.617
8,3,1,2,27,6,2019,1,12,10,6,50,3,20,6,12,4,26445.549
8,3,1,2,6,5,2019,1,3,35,21,50,3,32,6,12,4,25919.328
8,3,0,3,24,5,2019,0,17,45,15,15,2,5,24,12,4,19009.926
8,1,2,0,1,4,2019,0,12,45,10,0,0,13,24,12,4,2494.7446
5,4,0,3,12,5,2019,1,16,20,8,25,2,7,3,12,4,58886.426
8,1,0,3,1,4,2019,2,5,25,10,0,2,14,0,3,4,40596.13
8,8,2,0,18,6,2019,0,12,20,9,30,0,13,24,12,4,3448.9504
8,10,2,0,21,4,2019,0,22,15,19,30,0,13,24,12,4,933.638
8,1,5,0,15,3,2019,1,10,50,22,0,0,11,8,12,4,11314.471
8,3,5,0,1,3,2019,0,8,45,6,0,0,13,24,12,4,9777.122
8,4,0,3,24,3,2019,1,22,35,21,10,2,7,3,12,4,45626.664
8,4,1,2,15,5,2019,1,12,35,2,15,3,7,6,12,4,29691.377
5,4,0,3,12,5,2019,1,22,35,14,5,2,7,3,12,4,58861.473
8,3,5,0,9,3,2019,0,11,30,8,30,0,13,24,12,4,6606.101
8,1,1,2,27,5,2019,1,9,25,20,40,3,33,6,12,4,27354.123
8,3,2,0,18,5,2019,0,0,15,21,15,0,13,24,12,4,2256.3684
8,1,0,3,12,5,2019,0,16,45,14,15,2,5,24,12,4,21226.287
5,4,0,3,9,6,2019,1,4,40,16,30,2,7,3,12,4,60514.125
8,1,1,2,15,5,2019,1,8,15,9,45,3,6,6,12,4,41877.023
8,4,0,3,15,5,2019,1,16,20,8,25,2,7,3,12,4,48063.93
8,6,1,2,3,3,2019,1,22,20,14,35,3,20,6,12,4,27192.46
8,6,1,2,27,5,2019,1,21,0,14,0,3,7,6,12,4,27143.703
8,4,2,0,24,5,2019,0,14,5,11,10,0,13,24,12,4,2608.629
7,8,0,3,1,6,2019,0,19,40,17,10,2,5,24,12,4,20990.244
8,8,2,0,21,6,2019,0,0,5,21,10,0,13,24,12,4,2177.845
8,3,0,3,15,3,2019,0,19,55,17,15,2,5,24,12,4,20501.55
8,3,2,0,15,6,2019,0,22,50,20,0,0,13,24,12,4,1734.7079
5,4,0,3,12,5,2019,1,12,0,14,5,2,7,3,12,4,57039.363
5,4,3,4,12,5,2019,0,21,5,19,35,1,19,24,12,4,6872.3716
8,4,2,0,18,5,2019,0,22,50,19,50,0,13,24,12,4,117.27603
8,6,1,2,27,3,2019,1,15,30,9,0,3,7,6,12,4,29278.283
8,3,2,0,21,5,2019,0,19,55,16,55,0,13,24,12,4,1707.0961
8,2,0,3,18,6,2019,0,17,55,15,20,2,5,24,12,4,20924.389
7,8,2,0,6,5,2019,0,12,20,9,30,0,13,24,12,4,3497.283
8,1,2,0,27,5,2019,0,8,55,6,10,0,13,24,12,4,4400.365
8,1,1,2,27,5,2019,2,9,25,7,5,3,20,22,5,4,26622.135
7,8,0,3,18,3,2019,0,0,40,22,20,2,5,24,12,4,19506.959
8,8,0,3,1,5,2019,1,17,15,8,35,2,38,3,12,4,50034.984
8,3,4,1,9,3,2019,0,17,5,14,40,4,8,24,12,4,15062.807
8,1,1,2,1,6,2019,2,19,15,20,15,3,9,4,5,4,26411.701
8,4,1,2,24,6,2019,2,19,0,9,40,3,28,4,5,4,34485.758
8,3,5,0,3,3,2019,0,0,15,21,20,0,13,24,12,4,4908.9697
8,3,2,0,6,4,2019,0,4,15,1,30,0,13,24,12,4,3720.6143
8,1,5,0,18,3,2019,2,10,35,8,50,0,7,23,6,4,16886.838
8,8,0,3,3,5,2019,0,19,40,17,10,2,5,24,12,4,14832.88
8,8,0,3,6,5,2019,1,20,20,15,5,2,33,3,12,4,39824.625
8,1,0,3,24,3,2019,2,18,30,9,10,2,2,4,3,4,37188.605
8,6,1,2,27,3,2019,1,1,35,9,55,3,7,6,12,4,32441.613
5,4,0,3,18,5,2019,1,10,5,20,0,2,7,3,12,4,59515.645
8,1,0,3,6,5,2019,1,21,50,9,25,2,7,3,12,4,47535.81
8,3,3,4,3,5,2019,0,20,35,19,5,1,19,24,12,4,6876.4263
8,8,0,3,24,6,2019,0,0,40,22,20,2,5,24,12,4,15242.967
8,4,5,0,6,3,2019,1,20,20,8,55,0,7,8,12,4,22854.092
8,6,1,2,6,5,2019,1,19,15,9,0,3,7,6,12,4,30811.482
8,10,5,0,3,3,2019,1,21,55,6,40,0,0,8,12,4,15671.268
8,4,0,3,9,6,2019,1,10,55,20,25,2,14,3,12,4,49529.59
8,6,1,2,3,6,2019,1,1,30,17,30,3,7,6,12,4,26761.285
8,0,1,2,21,4,2019,1,15,45,7,55,3,6,6,12,4,26316.986
7,8,0,3,27,6,2019,0,0,40,22,20,2,5,24,12,4,19337.05
8,6,1,2,15,5,2019,1,21,0,8,0,3,7,6,12,4,29857.254
8,10,3,4,6,3,2019,1,9,25,20,55,1,14,13,12,4,19844.844
8,8,3,4,27,5,2019,0,14,45,13,15,1,19,24,12,4,4993.9146
8,6,1,2,12,6,2019,1,21,0,10,20,3,7,6,12,4,27836.418
8,1,1,2,6,6,2019,2,19,15,22,0,3,16,4,5,4,26278.348
8,3,4,1,21,5,2019,0,14,0,11,35,4,8,24,12,4,15643.907
8,1,0,3,6,6,2019,2,11,10,8,20,2,28,4,3,4,48843.137
8,1,1,2,21,5,2019,1,23,0,6,10,3,6,6,12,4,27795.256
8,4,2,0,27,4,2019,0,8,45,6,0,0,13,24,12,4,3662.2703
8,1,0,3,1,4,2019,1,18,30,9,25,2,7,3,12,4,51255.094
5,4,1,2,21,5,2019,1,4,25,18,15,3,7,6,12,4,33020.227
8,4,1,2,1,6,2019,1,19,0,2,15,3,7,6,12,4,31433.959
8,1,0,3,24,3,2019,1,7,55,9,25,2,7,3,12,4,46446.3
8,8,4,1,21,5,2019,0,12,0,9,45,4,8,24,12,4,18637.875
8,3,1,2,21,3,2019,1,16,10,4,55,3,20,6,12,4,27492.824
7,8,2,0,9,6,2019,0,8,35,5,55,0,13,24,12,4,3026.5298
5,4,1,2,21,3,2019,1,4,25,9,0,3,7,6,12,4,41162.203
8,4,1,2,12,6,2019,2,4,25,5,30,3,28,4,5,4,27325.654
8,6,1,2,3,3,2019,2,21,20,9,45,3,20,22,5,4,41557.617
8,10,0,3,24,5,2019,1,10,45,17,0,2,14,3,12,4,47117.867
8,1,1,2,15,6,2019,0,17,10,14,10,3,10,24,12,4,15542.544
8,1,0,3,15,5,2019,2,11,10,12,0,2,2,4,3,4,38494.426
8,4,0,3,6,6,2019,1,10,55,9,35,2,14,3,12,4,49416.207
8,3,1,2,27,4,2019,1,12,10,6,50,3,20,6,12,4,26724.938
8,6,1,2,6,3,2019,2,1,35,17,50,3,26,4,5,4,43865.09
5,4,0,3,1,5,2019,1,8,15,8,25,2,7,3,12,4,58186.973
5,4,0,3,9,5,2019,1,22,35,16,30,2,7,3,12,4,59302.71
8,1,1,2,6,6,2019,2,7,40,17,15,3,20,4,5,4,27277.314
8,4,1,2,3,6,2019,2,12,35,19,30,3,28,4,5,4,29358.482
8,4,3,4,6,3,2019,1,16,50,16,0,1,14,13,12,4,17830.697
8,0,2,0,6,4,2019,0,7,45,4,55,0,13,24,12,4,2493.7715
8,3,1,2,27,6,2019,1,1,30,15,0,3,7,6,12,4,22344.482
8,6,1,2,6,6,2019,1,1,30,18,15,3,7,6,12,4,26261.086
8,3,4,1,18,5,2019,0,15,35,13,15,4,8,24,12,4,12069.017
8,8,0,3,24,3,2019,0,11,30,9,0,2,5,24,12,4,21658.6
8,1,1,2,15,6,2019,2,7,40,12,0,3,28,4,5,4,27214.537
8,3,0,3,12,3,2019,0,17,55,15,20,2,5,24,12,4,21421.053
8,3,3,4,1,4,2019,0,13,30,12,0,1,19,24,12,4,6799.095
8,8,1,2,27,4,2019,1,22,5,15,45,3,33,6,12,4,27900.787
8,4,0,3,24,5,2019,1,9,45,17,0,2,14,3,12,4,46288.523
8,1,0,3,1,4,2019,2,1,20,7,0,2,14,7,3,4,37521.004
5,4,0,3,15,5,2019,1,19,50,16,30,2,7,3,12,4,60265.32
8,4,3,4,21,6,2019,0,4,20,2,55,1,19,24,12,4,7596.8774
8,4,5,0,1,3,2019,1,8,15,22,50,0,7,8,12,4,28218.803
8,3,2,0,18,5,2019,0,3,25,0,30,0,13,24,12,4,4247.407
8,3,5,0,9,3,2019,1,20,25,15,15,0,16,8,12,4,13628.897
8,6,1,2,9,5,2019,2,1,30,17,50,3,26,4,5,4,37035.504
8,3,0,3,12,3,2019,0,0,55,22,10,2,5,24,12,4,17590.375
8,6,1,2,15,6,2019,1,12,35,6,0,3,7,6,12,4,29339.307
8,1,0,3,24,5,2019,1,11,5,19,0,2,20,3,12,4,47675.117
8,4,0,3,9,5,2019,1,14,25,9,35,2,14,3,12,4,50373.26
8,6,1,2,3,6,2019,1,21,0,8,0,3,7,6,12,4,31172.594
8,1,5,0,6,3,2019,2,23,25,8,50,0,7,2,6,4,17223.834
8,3,2,0,6,6,2019,0,19,55,16,55,0,13,24,12,4,1673.7113
8,6,1,2,9,6,2019,2,1,30,15,5,3,21,4,5,4,26385.807
8,4,1,2,21,5,2019,2,19,0,23,5,3,0,4,5,4,23906.91
8,1,0,3,9,5,2019,2,21,50,8,20,2,28,4,3,4,46629.82
8,10,2,0,15,4,2019,0,9,40,7,0,0,13,24,12,4,4051.2415
8,6,1,2,6,6,2019,1,21,0,10,0,3,7,6,12,4,27687.12
8,3,1,2,24,5,2019,1,1,30,11,25,3,7,6,12,4,24465.062
8,4,1,2,3,3,2019,2,4,25,5,25,3,21,4,5,4,48468.195
8,1,1,2,27,5,2019,3,19,15,5,15,3,39,23,4,1,29442.69
8,1,1,2,6,3,2019,1,19,15,13,0,3,7,6,12,4,36510.12
8,3,1,2,6,3,2019,1,15,30,10,45,3,7,6,12,4,48241.863
8,6,1,2,18,5,2019,1,19,15,12,50,3,7,6,12,4,29110.379
5,4,1,2,6,6,2019,2,4,25,6,45,3,34,4,5,4,53307.98
8,6,1,2,27,5,2019,1,16,10,7,5,3,20,6,12,4,28873.77
8,1,1,2,15,6,2019,0,21,10,18,5,3,10,24,12,4,15497.186
8,4,1,2,27,6,2019,2,12,35,13,25,3,0,4,5,4,27266.133
8,3,0,3,12,5,2019,1,14,15,9,20,2,37,3,12,4,48942.523
8,1,0,3,18,5,2019,2,8,55,16,45,2,15,9,3,4,49069.203
8,3,3,4,27,3,2019,0,4,0,2,30,1,19,24,12,4,6011.1665
8,3,2,0,24,5,2019,0,19,55,16,55,0,13,24,12,4,1787.11
8,4,0,3,24,3,2019,1,20,40,13,55,2,7,3,12,4,45694.75
5,4,2,0,21,6,2019,0,8,45,6,0,0,13,24,12,4,5367.284
8,3,5,0,3,3,2019,0,2,20,23,30,0,13,24,12,4,4034.138
8,4,1,2,27,5,2019,2,12,35,23,5,3,0,4,5,4,25267.13
8,3,2,0,24,6,2019,0,0,15,21,15,0,13,24,12,4,2429.636
8,4,0,3,6,5,2019,1,23,35,16,30,2,7,3,12,4,45610.066
8,6,1,2,9,3,2019,1,19,15,7,30,3,7,6,12,4,37984.37
8,4,1,2,24,6,2019,1,19,0,13,0,3,7,6,12,4,28936.383
8,1,0,3,12,6,2019,2,5,25,7,0,2,14,0,3,4,45000.953
8,10,2,0,21,5,2019,0,14,20,11,30,0,13,24,12,4,3224.9016
8,0,1,2,15,5,2019,1,22,25,7,55,3,6,6,12,4,28002.555
8,10,0,3,1,5,2019,1,23,25,17,0,2,14,3,12,4,49573.793
7,8,2,0,3,6,2019,0,8,35,5,55,0,13,24,12,4,2692.0776
8,6,1,2,9,4,2019,1,0,55,9,45,3,20,6,12,4,41228.918
5,4,0,3,6,5,2019,1,16,20,21,10,2,7,3,12,4,59743.51
5,4,0,3,15,5,2019,1,19,50,14,5,2,7,3,12,4,59892.14
8,2,5,0,3,3,2019,0,10,40,7,45,0,13,24,12,4,9211.409
8,3,1,2,27,3,2019,1,22,20,11,55,3,20,6,12,4,27384.635
8,4,1,2,3,6,2019,1,4,25,19,15,3,7,6,12,4,28225.14
8,1,1,2,1,3,2019,1,9,25,20,40,3,33,6,12,4,50046.387
8,10,0,3,9,5,2019,1,20,20,20,20,2,14,3,12,4,40485.168
8,1,5,0,21,3,2019,2,22,55,8,15,0,20,29,6,4,13739.032
8,8,0,3,15,3,2019,0,9,35,6,55,2,5,24,12,4,21110.8
8,3,5,0,15,3,2019,0,10,5,7,10,0,13,24,12,4,5575.7427
8,1,1,2,21,4,2019,1,8,15,9,45,3,6,6,12,4,41089.066
8,3,1,2,1,4,2019,1,21,0,16,0,3,7,6,12,4,27320.41
8,3,1,2,9,3,2019,1,22,20,6,40,3,20,6,12,4,28844.367
5,4,1,2,6,3,2019,1,4,25,23,5,3,7,6,12,4,41328.72
8,1,5,0,12,3,2019,2,13,55,17,25,0,7,18,6,4,14059.741
8,1,1,2,1,6,2019,2,9,25,9,45,3,20,22,5,4,44282.28
8,10,0,3,1,5,2019,1,23,25,7,10,2,14,3,12,4,49929.332
8,4,1,2,12,6,2019,2,4,25,5,30,3,28,4,5,4,27325.654
8,10,3,4,6,3,2019,1,22,55,14,40,1,14,13,12,4,18191.479
5,4,0,3,12,6,2019,1,18,0,9,35,2,14,3,12,4,58708.414
8,1,0,3,24,5,2019,2,8,55,9,50,2,15,9,3,4,46292.91
8,4,0,3,1,4,2019,1,12,0,16,30,2,7,3,12,4,48969.715
8,1,5,0,18,3,2019,2,11,10,8,50,0,7,15,6,4,17814.26
8,3,0,3,21,5,2019,1,20,30,15,15,2,20,3,12,4,45239.926
8,10,2,0,9,5,2019,0,23,50,21,0,0,13,24,12,4,297.68347
8,8,4,1,6,3,2019,0,10,35,8,20,4,8,24,12,4,17170.17
8,6,1,2,18,5,2019,1,1,30,13,0,3,7,6,12,4,25185.092
5,4,5,0,9,3,2019,1,9,10,8,0,0,7,8,12,4,21655.256
8,3,1,2,18,5,2019,1,1,30,11,25,3,7,6,12,4,24409.111
8,4,0,3,6,6,2019,1,14,25,17,0,2,14,3,12,4,49674.152
5,4,3,4,21,3,2019,0,17,20,15,50,1,19,24,12,4,7560.233
8,6,1,2,1,6,2019,1,19,15,10,35,3,7,6,12,4,29779.738
8,3,0,3,9,6,2019,1,20,5,15,15,2,20,3,12,4,38910.984
8,3,2,0,24,4,2019,0,11,20,8,30,0,13,24,12,4,4773.9067
8,1,0,3,6,5,2019,1,20,25,10,0,2,14,3,12,4,50470.1
8,1,0,3,9,5,2019,2,8,55,14,30,2,44,9,3,4,46782.688
5,4,0,3,1,5,2019,1,16,20,6,30,2,7,3,12,4,60697.88
8,1,3,4,3,3,2019,0,16,25,15,0,1,19,24,12,4,7257.6055
8,1,1,2,9,6,2019,2,7,40,12,0,3,28,4,5,4,27767.088
8,8,1,2,3,6,2019,1,22,5,15,45,3,33,6,12,4,29582.508
5,4,0,3,6,6,2019,1,16,20,6,30,2,7,3,12,4,60225.06
5,4,1,2,9,6,2019,1,4,25,18,15,3,7,6,12,4,33678.65
8,1,0,3,15,5,2019,1,13,15,9,10,2,2,3,12,4,47836.07
8,1,5,0,6,3,2019,1,11,35,11,50,0,33,8,12,4,22045.238
5,4,2,0,18,5,2019,0,20,45,17,45,0,13,24,12,4,4347.798
8,1,5,0,21,3,2019,1,10,15,19,10,0,7,8,12,4,12224.918
5,4,1,2,12,6,2019,1,19,0,2,15,3,7,6,12,4,40520.242
8,1,5,0,6,3,2019,2,23,25,6,45,0,7,2,6,4,21147.553
8,3,4,1,27,5,2019,0,7,40,5,15,4,8,24,12,4,13311.604
5,4,1,2,15,6,2019,1,19,0,15,0,3,7,6,12,4,32770.113
8,10,0,3,24,3,2019,1,10,50,9,55,2,14,3,12,4,55245.535
8,0,1,2,21,5,2019,1,7,10,20,45,3,6,6,12,4,34191.777
8,1,1,2,15,6,2019,2,7,40,13,15,3,20,4,5,4,25528.076
8,4,2,0,1,4,2019,0,11,20,8,20,0,13,24,12,4,3989.1965
8,1,2,0,27,5,2019,0,23,55,21,5,0,13,24,12,4,1141.7054
8,8,3,4,15,3,2019,0,7,5,5,45,1,19,24,12,4,6756.2783
8,8,5,0,24,3,2019,0,8,35,5,45,0,13,24,12,4,6844.8486
8,3,1,2,3,6,2019,1,1,30,20,25,3,7,6,12,4,25980.445
5,4,2,0,15,4,2019,0,22,50,19,50,0,13,24,12,4,1211.6649
8,6,1,2,9,3,2019,1,12,55,6,0,3,7,6,12,4,38429.316
5,4,0,3,12,5,2019,1,18,15,14,5,2,7,3,12,4,58456.562
8,0,0,3,18,5,2019,2,23,30,15,10,2,25,9,3,4,42768.72
8,1,1,2,9,6,2019,2,19,15,17,15,3,20,4,5,4,28608.574
8,2,2,0,21,6,2019,0,10,40,7,45,0,13,24,12,4,7580.9136
8,1,0,3,9,5,2019,2,5,35,16,50,2,7,11,3,4,47935.344
8,4,1,2,12,6,2019,1,19,0,10,0,3,7,6,12,4,28182.79
8,1,3,4,18,6,2019,0,22,25,21,5,1,19,24,12,4,6844.3027
